"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1829924015571681461","Sat Aug 31 16:47:38 +0000 2024","0","Rak dinding toilet estetik ️ https://t.co/9XTrZeZeIj EH KOCAK #MimpiIndah #Tungguapalagi PAHAM LU #Sekalilagi Agustus Lawan Hoaks fufufafa ilyy Kaskus https://t.co/PcDE3oMn6y","1829924015571681461","https://pbs.twimg.com/ext_tw_video_thumb/1829923970415804416/pu/img/7rlcSDRT2leLoTl3.jpg","","in","","0","0","0","https://x.com/Racunshopeefrn/status/1829924015571681461","1446825921088921608","Racunshopeefrn"
"1829923878669521112","Sat Aug 31 16:47:05 +0000 2024","0","https://t.co/NaI95mtaMm Malam Minggu Indomaret Fufufafa Coblos Kaka Bos Wasit Malming Dirumah COBA LU BELAH DADA GUA Kaskus Purwokerto","1829923878669521112","","","in","","0","0","0","https://x.com/zznlii_/status/1829923878669521112","1275833364604321792","zznlii_"
"1829525307965194494","Sat Aug 31 16:46:48 +0000 2024","0","@xquitavee @prabowo Tantruman mana Prabowo sama cuitan fufufafa atau nilai 11 menarik kita tunggu","1829923806552735776","","xquitavee","in","","0","0","0","https://x.com/Soto83156897/status/1829923806552735776","1513747883727618049","Soto83156897"
"1829923757257081048","Sat Aug 31 16:46:36 +0000 2024","0","Pencerahan Malam Minggu fufufafa https://t.co/qscgDPRst7","1829923757257081048","","","in","idf head quarter","0","0","0","https://x.com/GunawanSerafine/status/1829923757257081048","1286119595372249088","GunawanSerafine"
"1829923725632028925","Sat Aug 31 16:46:29 +0000 2024","0","Fufufafa partai perubahan indonesia rokok tingwe alat dari indomaret purwokerto huehuehue https://t.co/LywZGKhG0f","1829923725632028925","https://pbs.twimg.com/media/GWUx7gkbQAEolP-.jpg","","in","","0","0","0","https://x.com/UstazSosmed/status/1829923725632028925","840721963207217152","UstazSosmed"
"1829923591401718078","Sat Aug 31 16:45:57 +0000 2024","1","Potret Ananta Dwi Rajasa ketika Kakak Pembina alias Chilli Pari alias rkgbrn alias fufufafa alias Gibran memerintahkan dirinya utk menyebar hoax: https://t.co/KtkXsTSEFH","1829923591401718078","https://pbs.twimg.com/media/GWUxzsUaEAACxlD.jpg","","in","","0","0","0","https://x.com/SaintHaezer/status/1829923591401718078","1410561659064573959","SaintHaezer"
"1829923500980912253","Sat Aug 31 16:45:35 +0000 2024","0","Sehat selalu kabinet Indonesia Maju Malam Minggu Fufufafa EH KOCAK Wasit Partai Perubahan Indonesia Sanggup Kaskus Ngotot https://t.co/LnIFfbcUMQ","1829923500980912253","https://pbs.twimg.com/ext_tw_video_thumb/1829923397473878016/pu/img/fzjL7jAQlQqufAOF.jpg","","in","","0","0","1","https://x.com/GFloretta46_1/status/1829923500980912253","1751154619420667904","GFloretta46_1"
"1829893735053758602","Sat Aug 31 16:45:26 +0000 2024","0","@detikcom Waduh... Bisa diiket di pohon itu fufufafa.","1829923463861338292","","detikcom","in","Jakarta","0","0","0","https://x.com/Nishion/status/1829923463861338292","62545645","Nishion"
"1829923461084459252","Sat Aug 31 16:45:26 +0000 2024","444","Nestapa Gaza warga Palestina mendirikan shalat Jumat di sisi masjid yang hanya menyisakan menaranya. . . . . . . . Malam Minggu Indomaret Fufufafa Coblos Kaka Bos Wasit Malming Dirumah COBA LU BELAH DADA GUA Kaskus Purwokerto https://t.co/sHXYiftiuF","1829923461084459252","https://pbs.twimg.com/ext_tw_video_thumb/1829922959038754816/pu/img/uqompf1Ich9ey2hI.jpg","","in","Jawa Timur, Indonesia","1","5","94","https://x.com/clara_asma/status/1829923461084459252","1283770362375761921","clara_asma"
"1829725843599606018","Sat Aug 31 16:45:23 +0000 2024","0","@ainunnajib Yang komentar ya seperti temannya atau anak buah kerja dia Tahun 2019 Jangan cebokin anak Mulyono aja lu woiii .. Fufufafa itu akun ya GIBRAN .. .. . Hey ingat manusia Lu boleh hidup selamanya didunia ini .. tetapi lu jangan lupa dengan kematian Paham kau manusia https://t.co/I90kWocTj2","1829923451278409827","https://pbs.twimg.com/media/GWUxrhmbQAE6jEI.jpg","ainunnajib","in","","0","0","0","https://x.com/Rokib_saidani/status/1829923451278409827","237987712","Rokib_saidani"
"1829923421683425394","Sat Aug 31 16:45:16 +0000 2024","0","Malem ngetawain fufufafa ngalter nya brutal amat wkwkwk.","1829923421683425394","","","in","20↑","0","0","0","https://x.com/arjunaaaan/status/1829923421683425394","1296311283487105024","arjunaaaan"
"1829868900701655328","Sat Aug 31 16:45:13 +0000 2024","2","@_mardial_ oke fix bukan narkoboy gaes tapi lebih ke suka begadang buat ginian","1829923410023194995","","_mardial_","in","","0","0","0","https://x.com/fufufafagnarly/status/1829923410023194995","1720354447971491840","fufufafagnarly"
"1829923362900242527","Sat Aug 31 16:45:02 +0000 2024","0","Listrik PLN aman Malam Minggu Fufufafa EH KOCAK Wasit Partai Perubahan Indonesia Sanggup Kaskus Ngotot https://t.co/u9Zd77o4KW","1829923362900242527","https://pbs.twimg.com/ext_tw_video_thumb/1829923265227505664/pu/img/dNjiZ-8t0qrWju0H.jpg","","in","","0","0","1","https://x.com/Florence45_9/status/1829923362900242527","1748267801473880064","Florence45_9"
"1829808367487107541","Sat Aug 31 16:44:55 +0000 2024","0","@hyvaikal Apaan sih gajelas dia pake usn fufufafa di kaskus kocak","1829923334710313177","","hyvaikal","in","far far away","0","0","0","https://x.com/burdenbar/status/1829923334710313177","1213027930902654976","burdenbar"
"1829922014624428337","Sat Aug 31 16:44:44 +0000 2024","0","@crimecoree shah aku aslinya pemilik akun fufufafa itu /hj","1829923288354865240","","crimecoree","in","INFJ ","0","1","0","https://x.com/kurousera/status/1829923288354865240","1708314347871834112","kurousera"
"1829893735053758602","Sat Aug 31 16:44:35 +0000 2024","0","@detikcom Perkataan ini muncul setelah viral nya napak tilas si fufufafa di kaskus apakah ini upaya pembersihan? karna muncul nya jejak fufufafa pun berawal dri statment doi tntang jngn mnjelekan pemimpin ","1829923250719375702","","detikcom","in","","0","0","0","https://x.com/AdilviX/status/1829923250719375702","1747561904007221248","AdilviX"
"1829834928105930980","Sat Aug 31 16:44:21 +0000 2024","0","@34DieEnd @PilipiUser @denismalhotra Bener oneliner mantap gan cendil gan pertamax itu ganggu Tpi fufufafa dh legen jd gada yg mau bejek2 ya Minimal opini saran apa kek biar ga dbejek2","1829923189516091846","","34DieEnd","in","","0","0","0","https://x.com/alumunium_1k62/status/1829923189516091846","1159456305251151873","alumunium_1k62"
"1829923185237901522","Sat Aug 31 16:44:20 +0000 2024","0","Indonesia Emas Malam Minggu Fufufafa EH KOCAK Wasit Partai Perubahan Indonesia Sanggup Kaskus Ngotot https://t.co/9wDhaDvABc","1829923185237901522","https://pbs.twimg.com/ext_tw_video_thumb/1829923097878929408/pu/img/5cZCIPRZitC0G7Hy.jpg","","in","","0","0","1","https://x.com/VitriHaggit474/status/1829923185237901522","1759055775237017600","VitriHaggit474"
"1829923120561733640","Sat Aug 31 16:44:04 +0000 2024","0","Biar ga kena uu ite kita sebut fufufafa","1829923120561733640","","","in","","0","0","0","https://x.com/slftlkslfngg/status/1829923120561733640","1509933243461603328","slftlkslfngg"
"1829923036260417919","Sat Aug 31 16:43:44 +0000 2024","0","Keren TNI AU Malam Minggu Fufufafa EH KOCAK Wasit Partai Perubahan Indonesia Sanggup Kaskus Ngotot https://t.co/VfJy4Mkayw","1829923036260417919","https://pbs.twimg.com/ext_tw_video_thumb/1829922962780405762/pu/img/KCFFAPHjjOpgDzxS.jpg","","in","","0","0","1","https://x.com/Ilyss4H70/status/1829923036260417919","1755784275797192704","Ilyss4H70"
"1829868900701655328","Sat Aug 31 16:43:43 +0000 2024","1","@_mardial_ Bini cakep badan bagus dan anak sudah ada gak menjamin skip dunia perbokevan","1829923031533428956","","_mardial_","in","","0","0","0","https://x.com/fufufafagnarly/status/1829923031533428956","1720354447971491840","fufufafagnarly"
"1829922897517068295","Sat Aug 31 16:43:11 +0000 2024","0","Pemimpin hebat Malam Minggu Fufufafa EH KOCAK Wasit Partai Perubahan Indonesia Sanggup Kaskus Ngotot https://t.co/qJh1BS9Og3","1829922897517068295","https://pbs.twimg.com/ext_tw_video_thumb/1829922781917822976/pu/img/gHOARvrT1q7SChC0.jpg","","in","","0","0","1","https://x.com/Hilmay4n49/status/1829922897517068295","1755264852438978560","Hilmay4n49"
"1829922793749954805","Sat Aug 31 16:42:47 +0000 2024","0","Salam hormat izin bertanya. Bapak @prabowo sudah tahu tentang fufufafa?","1829922793749954805","","","in","","0","0","0","https://x.com/scanux/status/1829922793749954805","277961321","scanux"
"1829768276181991792","Sat Aug 31 16:42:45 +0000 2024","0","@Robycigar pentingnya pakai akun anonim untuk hatespeech","1829922786024075528","","Robycigar","in","","0","0","0","https://x.com/fufufafagnarly/status/1829922786024075528","1720354447971491840","fufufafagnarly"
"1829922689903181949","Sat Aug 31 16:42:38 +0000 2024","0","KL BENERAN PUNYA FUFUFAFA INI LUCU BGT","1829922756173185193","","mingyujakseI","in","semi priv ","0","0","0","https://x.com/mingyujakseI/status/1829922756173185193","1267459186947813377","mingyujakseI"
"1829922714502775271","Sat Aug 31 16:42:28 +0000 2024","0","Cetak sejarah baru Malam Minggu Fufufafa EH KOCAK Wasit Partai Perubahan Indonesia Sanggup Kaskus Ngotot https://t.co/7TBY26ISoy","1829922714502775271","https://pbs.twimg.com/ext_tw_video_thumb/1829922562308259840/pu/img/bNpc8gwhE7RH3AGL.jpg","","in","","0","0","1","https://x.com/HGloria468/status/1829922714502775271","1755153410654195712","HGloria468"
"1829893735053758602","Sat Aug 31 16:41:58 +0000 2024","0","@detikcom Siappp kapan mulai bahas fufufafa bro?","1829922591701942744","","detikcom","in","","0","0","0","https://x.com/Areaarsenal/status/1829922591701942744","1387866450623229952","Areaarsenal"
"1829922485518905589","Sat Aug 31 16:41:33 +0000 2024","0","Pemindahan ASN ke IKN mundur ke Oktober Malam Minggu Fufufafa EH KOCAK Wasit Partai Perubahan Indonesia Sanggup Kaskus Ngotot https://t.co/10s1DDENKv","1829922485518905589","https://pbs.twimg.com/ext_tw_video_thumb/1829922376882274310/pu/img/iG0mmGz_4e3TE8p8.jpg","","in","","0","0","1","https://x.com/Her46mione7/status/1829922485518905589","1755072436142546944","Her46mione7"
"1829778225985433726","Sat Aug 31 16:41:04 +0000 2024","0","@UusRsd sebenernya bisa aja ya pks jakarta out dari dukung RK mengusung anies maju ketika MK dan UU revisi selesai dengan mendengarkan para pemilih setianya. Apa karena sandera dan kursi menteri buat para elit dan atas atasnya sampai kalian melupakan pemilih kalian?","1829922362504139208","","UusRsd","in","","0","1","0","https://x.com/fufufafagnarly/status/1829922362504139208","1720354447971491840","fufufafagnarly"
"1829725843599606018","Sat Aug 31 16:38:49 +0000 2024","0","@clean8989 @ainunnajib Apa ada kemungkinan fufufafa ngaku sbg rkgbrn? Semua org bisa aja kan ngaku ","1829921797430788312","","clean8989","in","","0","2","0","https://x.com/AmadeusNawawi/status/1829921797430788312","244880924","AmadeusNawawi"
"1829921535026741698","Sat Aug 31 16:37:46 +0000 2024","0","Makna taman kusuma bangsa IKN Malam Minggu Fufufafa EH KOCAK Wasit Partai Perubahan Indonesia Yeji Kaskus Ngotot https://t.co/08c7fLpTOr","1829921535026741698","https://pbs.twimg.com/ext_tw_video_thumb/1829921375337005062/pu/img/y39kuQ8n2d95H7uY.jpg","","in","","0","0","1","https://x.com/iqbal_zaky900/status/1829921535026741698","1782253643095511040","iqbal_zaky900"
"1829834365976953294","Sat Aug 31 16:37:44 +0000 2024","0","@Mdy_Asmara1701 Ini namanya nyindir guys","1829921525451145726","","Mdy_Asmara1701","in","","0","0","0","https://x.com/fufufafagnarly/status/1829921525451145726","1720354447971491840","fufufafagnarly"
"1829921403266826722","Sat Aug 31 16:37:15 +0000 2024","0","Kalau benar itu akunnya. Sungguh ironi mental culas dan tahan malu itu tercermin pada sifat Pangeran Muda. fufufafa","1829921403266826722","","","in","Indonesia","0","0","0","https://x.com/EldoDzo/status/1829921403266826722","130846410","EldoDzo"
"1829921329602310444","Sat Aug 31 16:36:57 +0000 2024","0","Pembangunan IKN usung konsep ramah lingkungan Malam Minggu Fufufafa EH KOCAK Wasit Partai Perubahan Indonesia Yeji Kaskus Ngotot https://t.co/TOtS1QGwbu","1829921329602310444","https://pbs.twimg.com/ext_tw_video_thumb/1829920958880034816/pu/img/d8CiRqDFT-ECreDL.jpg","","in","","0","0","1","https://x.com/alfaula809/status/1829921329602310444","1793907748876451840","alfaula809"
"1829801922209202623","Sat Aug 31 16:36:20 +0000 2024","0","@anggaikelana Kalau fufufafa artinya apa bang messi?","1829921170579472583","","anggaikelana","in","East Java","0","1","0","https://x.com/Ginanjarpb/status/1829921170579472583","317732123","Ginanjarpb"
"1829921152158089328","Sat Aug 31 16:36:15 +0000 2024","0","Ome tv di goda om2 langsung brani colok mekiny banjirr https://t.co/Wiz6Oi5oeb https://t.co/Z3uakYIsMw Malam Coblos fufufafa KKN Undip GISELLE Shella Yanti Ojol Kaget Ritsuki Megumi #megumi #vini #Doodstream #Ritsuki #ometv #ometvsange","1829921152158089328","","","in","","0","0","0","https://x.com/kuyim321/status/1829921152158089328","1820696346074210304","kuyim321"
"1829921047040438325","Sat Aug 31 16:35:50 +0000 2024","1","Fufufafa jangan ketinggalan ️","1829921047040438325","","","in","O5z","0","0","0","https://x.com/yondwon/status/1829921047040438325","1425273037348241408","yondwon"
"1829921007152611787","Sat Aug 31 16:35:41 +0000 2024","35","Fufufafa trending Kalo udah kespill smpi kerak gini bajer fufufafa morat marit juga ","1829921007152611787","","","in","Papua New Guinea","0","8","2","https://x.com/ViantyTJP/status/1829921007152611787","64466938","ViantyTJP"
"1829853600094539789","Sat Aug 31 16:35:19 +0000 2024","0","@fajarwahyu99 @shitlicious coba tolong dibantu ini temen saya kelamaan jomblo pengen cepet nikah. Anaknya baek ramah stylish ketua komunitas calon suami idaman #Fufufafa #malamminggu #LoveStory","1829920917507752212","","fajarwahyu99","in","","0","0","1","https://x.com/GilangJayadini1/status/1829920917507752212","1598045969685180416","GilangJayadini1"
